iter	Passed	Remaining
166	5195	10360
167	5204	10284
168	5212	10209
169	5220	10133
170	5229	10061
171	5236	9985
172	5245	9914
173	5252	9840
174	5263	9775
175	5279	9719
176	5288	9650
177	5296	9581
178	5304	9512
179	5313	9446
180	5323	9382
181	5344	9339
182	5351	9270
183	5366	9215
184	5372	9147
185	5380	9083
186	5386	9015
187	5402	8966
188	5483	9023
189	5520	9006
190	5539	8962
191	5576	8945
192	5607	8919
193	5621	8867
194	5629	8805
195	5644	8754
196	5659	8704
197	5669	8647
198	5676	8585
199	5686	8530
200	5694	8470
201	5703	8414
202	5712	8357
203	5719	8298
204	5726	8240
205	5735	8185
206	5742	8128
207	5752	8075
208	5761	8022
209	5768	7965
210	5774	7909
211	5785	7859
212	5797	7811
213	5804	7757
214	5814	7707
215	5821	7654
216	5836	7611
217	5854	7573
218	5881	7545
219	5899	7508
220	5918	7471
221	5947	7447
222	5967	7412
223	6016	7413
224	6044	7388
225	6051	7336
226	6063	7291
227	6069	7241
228	6079	7194
229	6091	7150
230	6098	7101
231	6108	7056
232	6116	7009
233	6128	6967
234	6141	6925
235	6149	6879
236	6165	6841
237	6174	6797
238	6181	6750
239	6191	6707
240	6198	6660
241	6208	6618
242	6215	6573
243	6230	6537
244	6246	6501
245	6265	6468
246	6278	6431
247	6291	6393
248	6305	6356
249	6314	6314
250	6354	6303
251	6430	6327
252	6474	6321
253	6494	6289
254	6518	6262
255	6536	6230
256	6557	6200
257	6591	6182
258	6622	6162
259	6657	6145
260	6692	6128
261	6723	6107
262	6757	6089
263	6782	6063
264	6831	6058
265	6851	6027
266	6883	6007
267	6910	5982
268	6928	5949
269	6945	5916
270	6960	5881
271	6979	5850
272	6995	5816
273	7010	5781
274	7024	5747
275	7040	5713
276	7049	5675
277	7063	5640
278	7092	5617
279	7106	5583
280	7120	5549
281	7130	5512
282	7144	5478
283	7161	5446
284	7176	5414
285	7194	5383
286	7218	5356
287	7239	5328
288	7251	5294
289	7261	5258
290	7277	5226
291	7309	5206
292	7335	5182
293	7355	5153
294	7370	5122
295	7388	5092
296	7402	5059
297	7417	5027
298	7424	4991
299	7437	4958
300	7451	4926
301	7457	4889
302	7469	4856
303	7482	4824
304	7506	4799
305	7535	4777
306	7552	4747
307	7564	4715
308	7579	4684
309	7586	4649
310	7604	4621
311	7618	4590
312	7629	4558
313	7641	4526
314	7662	4500
315	7694	4480
316	7740	4468
317	7755	4438
318	7765	4406
319	7773	4372
320	7790	4343
321	7825	4325
322	7842	4297
323	7859	4269
324	7884	4245
325	7901	4217
326	7935	4198
327	7973	4181
328	8007	4161
329	8035	4139
330	8052	4111
331	8070	4083
332	8099	4062
333	8117	4034
334	8134	4006
335	8151	3978
336	8162	3948
337	8171	3916
338	8183	3886
339	8196	3857
340	8204	3825
341	8224	3799
342	8232	3768
343	8243	3738
344	8251	3707
345	8264	3678
346	8275	3648
347	8283	3618
348	8302	3591
349	8314	3563
350	8322	3533
351	8331	3502
352	8341	3473
353	8348	3443
354	8363	3415
355	8373	3387
356	8380	3356
357	8390	3327
358	8396	3297
359	8408	3269
360	8415	3240
361	8428	3213
362	8440	3185
363	8455	3159
364	8462	3130
365	8473	3102
366	8480	3073
367	8492	3046
368	8505	3019
369	8512	2990
370	8524	2963
371	8535	2936
372	8544	2909
373	8560	2883
374	8574	2858
375	8590	2833
376	8601	2806
377	8609	2778
378	8620	2752
379	8627	2724
380	8637	2697
381	8644	2670
382	8653	2643
383	8665	2617
384	8672	2590
385	8683	2564
386	8690	2537
387	8703	2512
388	8714	2486
389	8721	2460
390	8739	2436
391	8751	2410
392	8766	2386
393	8773	2360
394	8786	2335
395	8797	2310
396	8805	2284
397	8817	2259
398	8827	2234
399	8835	2208
400	8845	2183
401	8851	2157
402	8861	2132
403	8868	2107
404	8880	2083
405	8894	2059
406	8901	2033
407	8911	2009
408	8918	1984
409	8927	1959
410	8934	1934
411	8945	1910
412	8952	1885
413	8963	1861
414	8969	1837
415	8977	1812
416	8985	1788
417	8993	1764
418	9004	1740
419	9011	1716
420	9021	1692
421	9030	1669
422	9043	1646
423	9054	1622
424	9061	1599
425	9072	1576
426	9079	1552
427	9092	1529
428	9102	1506
429	9109	1482
430	9126	1461
431	9145	1439
432	9168	1418
433	9201	1399
434	9210	1376
435	9223	1353
436	9235	1331
437	9242	1308
438	9260	1286
439	9288	1266
440	9324	1247
441	9354	1227
442	9406	1210
443	9480	1195
444	9553	1180
445	9595	1161
446	9613	1139
447	9633	1118
448	9651	1096
449	9667	1074
450	9683	1052
451	9710	1031
452	9728	1009
453	9746	987
454	9765	965
455	9781	943
456	9794	921
457	9807	899
458	9818	877
459	9830	854
460	9856	833
461	9880	812
462	9895	790
463	9908	768
464	9926	747
465	9943	725
466	9958	703
467	9971	681
468	9989	660
469	10004	638
470	10011	616
471	10022	594
472	10033	572
473	10041	550
474	10054	529
475	10069	507
476	10078	485
477	10092	464
478	10106	443
479	10118	421
480	10132	400
481	10150	379
482	10160	357
483	10169	336
484	10179	314
485	10192	293
486	10200	272
487	10211	251
488	10218	229
489	10229	208
490	10236	187
491	10246	166
492	10264	145
493	10275	124
494	10284	103
495	10296	83
496	10305	62
497	10314	41
498	10324	20
499	10331	0
