iter	Logloss
0	0.6701989821
1	0.6502363401
2	0.635300074
3	0.6193536565
4	0.6061993946
5	0.5935207497
6	0.5816787377
7	0.5713220123
8	0.5626303446
9	0.5548881559
10	0.5477344616
11	0.5413648164
12	0.5353489495
13	0.5295691006
14	0.5254108536
15	0.5213044475
16	0.5170793141
17	0.513159244
18	0.5093899336
19	0.5062244579
20	0.5034113552
21	0.50070428
22	0.498674807
23	0.4964631565
24	0.4943348817
25	0.4920979654
26	0.4903817421
27	0.4888691324
28	0.488118963
29	0.486534751
30	0.4851665735
31	0.4839182445
32	0.4827437931
33	0.4811364192
34	0.4800601362
35	0.4788960125
36	0.4778341954
37	0.4768819062
38	0.4758453915
39	0.4750128841
40	0.4742784692
41	0.4732949222
42	0.4726343585
43	0.4716174501
44	0.4704669768
45	0.4696899019
46	0.4690275799
47	0.4682056758
48	0.4677166882
49	0.4670733353
50	0.4664604571
51	0.4654955506
52	0.4648389115
53	0.4642625429
54	0.4638723782
55	0.4634198149
56	0.4628717506
57	0.4623602015
58	0.4614598108
59	0.460810781
60	0.4604528442
61	0.4602714509
62	0.4596614154
63	0.4591315898
64	0.4583349194
65	0.4573862524
66	0.4569646541
67	0.4565493861
68	0.4559671235
69	0.4553491947
70	0.4547024723
71	0.4546285778
72	0.4542245548
73	0.4539870784
74	0.4535938969
75	0.4533822444
76	0.4529288133
77	0.452383455
78	0.4519443526
79	0.4512200263
80	0.4506700013
81	0.4501788234
82	0.4496694409
83	0.4492842594
84	0.4492272323
85	0.4485499507
86	0.4481122641
87	0.4477210428
88	0.4475358585
89	0.4470025751
90	0.4465034088
91	0.4458899872
92	0.4456407899
93	0.4453012844
94	0.4449849343
95	0.4444742831
96	0.444021147
97	0.4438735967
98	0.4436803041
99	0.44328462
100	0.4429922138
101	0.4427045948
102	0.4424280859
103	0.442044422
104	0.4416244935
105	0.4413501322
106	0.4410993432
107	0.4408235118
108	0.4405389658
109	0.440128519
110	0.4399265166
111	0.4398123276
112	0.4395193922
113	0.439263438
114	0.4390100971
115	0.4389003814
116	0.4385386698
117	0.4383049226
118	0.4378833585
119	0.4374709912
120	0.437107597
121	0.4368644618
122	0.4364385376
123	0.4359351766
124	0.4356087515
125	0.4353006159
126	0.4349248163
127	0.4342961632
128	0.4342655075
129	0.4340990892
130	0.4338823266
131	0.4334783479
132	0.4333494542
133	0.4329819374
134	0.4324772653
135	0.4322007749
136	0.4319013231
137	0.4314351696
138	0.4311895462
139	0.4305433607
140	0.4301545392
141	0.4300421966
142	0.42972622
143	0.4294140467
144	0.4290964717
145	0.4287919887
146	0.4284919796
147	0.4280202855
148	0.4279752571
149	0.4273728836
150	0.4268064522
151	0.4265816368
152	0.4259086549
153	0.4255493909
154	0.4253111231
155	0.4247203325
156	0.4242235944
157	0.4236801238
158	0.4233557819
159	0.4229900284
160	0.4226663404
161	0.4223297848
162	0.4220683536
163	0.4217587288
164	0.4211389666
165	0.4208772259
166	0.420601311
167	0.4198393347
168	0.4194526804
169	0.4191561676
170	0.4189267177
171	0.4187053243
172	0.4183235614
