,precision,recall,f1-score,support
0,0.9130434782608695,0.7280650784427658,0.8101293103448276,5163.0
1,0.5183533447684391,0.8084537185660781,0.6316889632107023,1869.0
accuracy,0.7494311717861206,0.7494311717861206,0.7494311717861206,0.7494311717861206
macro avg,0.7156984115146543,0.7682593985044219,0.7209091367777649,7032.0
weighted avg,0.8081407678659104,0.7494311717861206,0.7627025457268413,7032.0
